,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
11/08/2024 22:26:16,18.75,1.5625,0.757575035,0,0,0,3.51168513,5.809004,99.81416,1.16136384,0.6955257,0.31278947,0.00527651841,0.00582121173,0.012589707,48.5,2395.54,2395.54,2395.54,1916.43188,1916.43188,1916.43188,2.19336629,63.74391,9.780121,5.56271,400,1600,,4,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65800023,0.29296875,0.29296875,80.82738
11/08/2024 22:26:17,11.71875,7.8125,0,1.5625,0,0,3.515625,8.27289,99.81416,1.7136519,1.7538377,0.896547437,0.5299203,0.008359579,0.013541013,48.875,2395.54,2395.54,1916.43188,1916.43188,1916.43188,1916.43188,4.915858,63.8296661,9.793278,5.549553,400,1600,,6,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.673,0.048828125,0.1953125,80.82738
11/08/2024 22:26:18,14.84375,3.125,3.90625,0,0,0,3.64583135,7.515299,99.81416,1.21830714,1.37609923,1.14149165,0.4597825,0.01000603,0.0137950219,48.875,1916.43188,2395.54,2375.57715,2375.57715,2375.57715,2375.57715,4.21948147,63.8334961,9.793865,5.54896545,400,1600,0.001,6,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67,0.341796875,0.048828125,80.82738
11/08/2024 22:26:19,7.03125,1.5625,0,0,0,0,1.43229365,4.480125,99.81416,0.5484091,0.557775736,0.236964852,0.027674837,0.00534473127,0.0109914243,48.5,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,1.38716066,63.86562,9.798794,5.544037,400,1600,0.001,2,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.68500018,0.29296875,0.048828125,80.82738
11/08/2024 22:26:20,7.8125,7.03125,2.34375,0.78125,0,0,2.99479365,6.297598,99.81416,1.29769588,1.34233713,0.3619532,0.0303560849,0.009126666,0.0172307789,48.625,2395.54,2395.54,2395.54,1916.43188,1916.43188,1916.43188,3.05869985,63.9796677,9.816292,5.526539,400,1600,,1,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.6880002,0.6347656,0.29296875,80.82738
11/08/2024 22:26:21,14.84375,1.5625,1.5625,0,0,0,2.99479365,7.246569,99.81416,1.35591936,1.194166,1.05339563,0.42384252,0.005927332,0.009030572,48.875,2969.47144,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,4.042281,63.98946,9.817795,5.525036,400,400,0.001,2,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67200017,0.341796875,0.390625,80.82738
11/08/2024 22:26:22,3.90625,10.15625,4.03226,0,0,0,3.01578641,5.70867872,99.81416,0.9164647,1.00614178,0.5282389,0.0872439742,0.004334065,0.0289293639,49,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,2.57135272,64.03874,9.825356,5.517475,400,1600,0.001,1,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67800021,0.341796875,0.341796875,80.82657
11/08/2024 22:26:23,14.0625,3.90625,3.8461566,0,0,0,3.63581777,6.36069727,99.81416,1.51426983,0.7827827,0.417404622,0.003117116,0.003358955,0.011439913,49.625,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,2.73237276,64.008255,9.820679,5.522152,400,400,0.001,0,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.69,0.341796875,0.341796875,80.82657
11/08/2024 22:26:24,10.9375,14.84375,3.076923,0,0,0,4.80969524,8.457513,99.81416,2.12751222,1.69958973,0.791406631,0.005437856,0.005990346,0.0171627328,50.25,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,4.64709949,64.15067,9.842529,5.50030136,400,1600,0.001,0,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67800021,0.390625,0.341796875,80.82657
11/08/2024 22:26:25,15.625,24.21875,6.25,0,0,0.7692337,7.81049728,9.620272,99.81416,2.340462,2.094686,1.46528268,0.06201536,0.06873266,0.0735351443,51.125,3243.96021,3243.96021,3243.96021,3243.96021,3243.96021,3243.96021,6.104714,64.19003,9.848568,5.4942627,400,1600,0.001,0,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.66100025,0.048828125,0.29296875,80.82657
