,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space","Used Space"
10/09/2024 20:31:41,2.35614777,2.34375,1.5625,1.5625,3.125,0.78125,1.95519328,47,47,46,46,45,46,47,4014.53955,3914.176,3914.176,3412.35864,2509.08716,3412.35864,17.32398,5.66751146,0,1.15632558,100.363487,26.8705063,8.565315,23.310955,44,607.5,405.000031,1215,0,13,0,0,6144,1166.73047,4977.26953,18.9897537,4.926,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:42,7.64569044,6.92307949,1.53846145,2.30768919,3.076923,4.615384,4.35121059,47,46,48,46,46,47,48,1706.18127,1706.18127,1706.18127,1706.18127,1706.18127,1706.18127,16.9540672,5.24800539,0,1.161241,100.3636,26.8625259,8.562771,23.3135,44,607.5,405.000031,1215,9,14,0,0,6144,1164.168,4979.832,18.9480457,6.39400053,0.0107421875,0.0029296875,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:43,2.30768919,1.53846145,2.30768919,0,1.53846145,22.3076935,5.000001,46,46,46,45,45,46,47,903.2714,903.2714,903.2714,903.2714,802.907959,903.2714,14.63602,2.96741462,0,1.18304861,100.363495,26.8408127,8.555851,23.32042,44,607.5,405.000031,1215,1,14,0,0,6144,1164.668,4979.332,18.9561844,5.091,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:44,3.076923,6.92307949,3.8461566,1.53846145,3.076923,3.90625,3.72796059,49,48,49,48,48,58,58,3914.18,3914.18,3914.18,3914.18,3914.18,3914.18,18.515007,6.851543,0,1.15465832,100.363586,26.8903427,8.57164,23.30463,44,607.5,405.000031,1215,1,12,0,0,6144,1170.48047,4973.51953,19.0507889,4.578,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:45,65.76923,52.34375,51.5625,53.4975929,54.6875,52.30769,55.0280457,63,61,65,63,62,63,65,3613.087,3512.72339,3813.814,3412.35986,3613.087,3412.35986,53.8917542,41.8389664,0,1.88613415,100.363525,27.0010071,8.60691452,23.2693558,44,607.5,405.000031,1215,0,12,0,0,6144,1168.10547,4975.89453,19.0121326,4.708,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:46,41.26202,27.6923065,19.23077,31.5384636,24.6153831,32.30769,29.4411125,61,59,64,64,62,62,64,3412.35962,3813.81372,3412.35962,3713.4502,3613.08667,3914.17725,55.0718422,43.0263977,0.10389962,1.67229211,100.363518,26.99292,8.604336,23.2719345,44,607.5,405.000031,1215,1,13,0,0,6144,1164.10547,4979.89453,18.94703,5.02700043,0.0302734375,0.001953125,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:47,70.3125,53.125,42.1875,53.125,41.40625,50.78125,51.8229141,62,60,65,63,62,62,65,3412.35986,3914.17749,3512.72339,3713.45044,3613.087,3613.087,55.8924522,43.58369,0,2.46258664,100.363525,27.1329117,8.64896,23.22731,44,607.5,405.000031,1215,0,13,0,0,6144,1164.10547,4979.89453,18.94703,4.38300037,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:48,28.90625,10.2926617,5.46875,7.03125,1.5625,7.03125,10.0487766,54,62,56,56,53,52,62,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,48.9711227,36.87496,0,2.00845075,100.363525,27.1518478,8.654995,23.2212753,44,607.5,405.000031,1215,0,13,0,0,6144,1164.73047,4979.26953,18.957201,4.71200037,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:49,27.34375,15.5769234,12.5,8.59375,19.53125,6.25,14.9659452,54,52,63,53,53,60,63,3914.178,3914.178,3914.178,3914.178,3914.178,3713.451,44.8788147,32.82725,0,1.9026792,100.363541,27.25338,8.687363,23.1889076,44,607.5,405.000031,1215,2,14,0,0,6144,1170.23047,4973.76953,19.04672,6.16500044,0.0048828125,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:50,35.15625,18.75,36.71875,20.3125,2.34375,5.46875,19.7916679,55,52,56,54,62,65,65,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,43.80743,31.8207645,0,1.811644,100.363533,27.3038025,8.703434,23.1728363,44,607.5,405.000031,1215,0,13,0,0,6144,1170.23047,4973.76953,19.04672,4.72400045,0,0,28,18.34568,34.3991547,0.03377533
