Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%)
2024-11-14 15:48:58,52.875,0.81,21.0
2024-11-14 15:49:00,52.625,0.63,22.0
2024-11-14 15:49:01,52.75,0.82,21.0
2024-11-14 15:49:02,52.75,1.01,21.0
2024-11-14 15:49:03,53.0,0.99,21.0
2024-11-14 15:49:05,53.5,0.95,20.0
2024-11-14 15:49:06,53.625,1.07,20.0
2024-11-14 15:49:07,53.5,0.85,20.0
2024-11-14 15:49:09,53.375,0.89,20.0
2024-11-14 15:49:10,53.25,1.03,21.0
2024-11-14 15:49:11,53.5,1.14,20.0
2024-11-14 15:49:12,54.125,1.11,20.0
2024-11-14 15:49:14,54.375,1.15,20.0
2024-11-14 15:49:15,54.5,1.05,20.0
2024-11-14 15:49:16,54.5,0.62,20.0
2024-11-14 15:49:18,55.625,1.93,20.0
2024-11-14 15:49:19,57.125,2.33,20.0
2024-11-14 15:49:20,56.875,1.75,20.0
2024-11-14 15:49:22,56.375,0.91,20.0
2024-11-14 15:49:23,55.875,1.07,20.0
2024-11-14 15:49:24,55.625,1.21,20.0
2024-11-14 15:49:25,55.25,1.14,20.0
2024-11-14 15:49:27,54.5,0.7,20.0
2024-11-14 15:49:28,54.125,0.81,20.0
2024-11-14 15:49:29,54.25,1.08,20.0
2024-11-14 15:49:31,54.0,0.82,20.0
2024-11-14 15:49:32,53.75,0.9,20.0
2024-11-14 15:49:33,53.75,1.03,20.0
2024-11-14 15:49:34,57.0,2.49,20.0
2024-11-14 15:49:36,57.625,1.51,20.0
2024-11-14 15:49:37,57.75,1.6,20.0
2024-11-14 15:49:38,58.75,2.79,20.0
2024-11-14 15:49:40,60.0,1.91,20.0
2024-11-14 15:49:41,60.625,2.37,20.0
2024-11-14 15:49:42,61.0,2.39,20.0
2024-11-14 15:49:44,60.75,2.33,20.0
2024-11-14 15:49:45,60.625,2.41,20.0
2024-11-14 15:49:46,60.375,1.34,20.0
2024-11-14 15:49:48,61.125,1.95,20.0
2024-11-14 15:49:49,61.75,2.25,20.0
2024-11-14 15:49:50,62.0,2.18,20.0
2024-11-14 15:49:52,62.125,2.57,20.0
2024-11-14 15:49:53,61.625,2.04,20.0
2024-11-14 15:49:54,61.375,2.54,20.0
2024-11-14 15:49:56,61.0,2.49,20.0
2024-11-14 15:49:57,60.25,0.99,20.0
2024-11-14 15:49:58,59.625,1.09,20.0
2024-11-14 15:50:00,59.0,0.74,20.0
2024-11-14 15:50:01,57.875,0.92,20.0
2024-11-14 15:50:02,57.625,1.22,20.0
2024-11-14 15:50:03,57.125,0.74,20.0
2024-11-14 15:50:05,57.125,1.37,20.0
2024-11-14 15:50:06,56.875,0.92,20.0
2024-11-14 15:50:07,56.625,0.92,20.0
2024-11-14 15:50:09,56.5,1.04,20.0
2024-11-14 15:50:10,55.875,0.97,20.0
2024-11-14 15:50:11,55.875,0.89,20.0
2024-11-14 15:50:12,56.125,1.21,20.0
2024-11-14 15:50:14,56.25,1.36,20.0
2024-11-14 15:50:15,58.25,2.2,20.0
2024-11-14 15:50:16,59.25,1.93,20.0
2024-11-14 15:50:18,61.875,2.19,20.0
